순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
238,2021,포트로 픽업(HMT-250P),(주)디피코,전기,0.0,4.2,고속(전기),15000,4.2,309.1,1103928.5714285714
239,2021,EV6 기본형 RWD 19인치,기아,전기,0.0,5.6,고속(전기),15000,5.3,309.1,874811.3207547171
240,2021,타이칸 4S,포르쉐,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
241,2021,TWIZY Urban(2인승),르노삼성,전기,0.0,7.9,고속(전기),15000,7.9,309.1,586898.7341772151
242,2021,아이오닉5 기본형 4WD 19인치,현대,전기,0.0,4.8,고속(전기),15000,5.1,309.1,909117.6470588237
243,2021,Peugeot e-2008 SUV,PSA Automobiles,전기,0.0,4.3,고속(전기),15000,4.3,309.1,1078255.8139534886
244,2021,Mercedes-Benz EQC400 4MATIC,벤츠,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
245,2021,타이칸 크로스 투리스모,포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
246,2021,아이오닉5 항속형 4WD 19인치,현대,전기,0.0,4.7,고속(전기),15000,5.1,309.1,909117.6470588237
247,2021,벤츠 EQC 400 4MATIC,벤츠,전기,0.0,3.2,고속(전기),15000,3.2,309.1,1448906.25
248,2021,LEAF PLUS,닛산,전기,0.0,4.8,고속(전기),15000,4.8,309.1,965937.5000000001
249,2021,포트로 탑(HMT-250T),(주)디피코,전기,0.0,4.2,고속(전기),15000,4.2,309.1,1103928.5714285714
250,2021,"쏘울 전기차(기본형, 64kWh)",기아,전기,0.0,5.4,고속(전기),15000,5.4,309.1,858611.111111111
251,2021,LSEV,코리아에어카고,전기,0.0,4.4,고속(전기),15000,4.4,309.1,1053750.0
252,2021,타이칸 터보 (5인승),포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
253,2021,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.7,고속(전기),15000,3.7,309.1,1253108.1081081082
254,2021,MG ZS EV,(주) 케이모터,전기,0.0,4.3,고속(전기),15000,4.3,309.1,1078255.8139534886
255,2021,타이칸 크로스 투리스모 4S (5인승),포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
256,2021,CEVO-C,Supa Motor Limited,전기,0.0,6.4,고속(전기),15000,6.4,309.1,724453.125
257,2021,EV6 항속형 RWD 19인치(빌트인캠미적용),기아,전기,0.0,5.4,고속(전기),15000,5.3,309.1,874811.3207547171
258,2021,"타이칸 (High, 5인승)",포르쉐,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
259,2021,봉고 전기차,기아,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
260,2021,RS e-tron GT,아우디,전기,0.0,3.4,고속(전기),15000,3.4,309.1,1363676.4705882354
261,2021,포터일렉트릭,현대,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
262,2021,BMW i3 94Ah,BMW,전기,0.0,5.4,고속(전기),15000,5.4,309.1,858611.111111111
263,2021,GV60 4WD 20인치,현대,전기,0.0,4.3,고속(전기),15000,4.9,309.1,946224.4897959183
264,2021,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.8,고속(전기),15000,3.8,309.1,1220131.5789473685
265,2021,Model S Long Range,테슬라코리아 유한회사,전기,0.0,4.3,고속(전기),15000,4.6,309.1,1007934.7826086958
266,2021,"니로 전기차 (기본형, 64kWh)",기아,전기,0.0,5.3,고속(전기),15000,5.3,309.1,874811.3207547171
267,2021,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.0,고속(전기),15000,5.1,309.1,909117.6470588237
268,2021,Model S 75D,테슬라코리아 유한회사,전기,0.0,4.3,고속(전기),15000,4.6,309.1,1007934.7826086958
269,2021,파워프라자 봉고3ev PEACE 더블캡,(주)파워프라자,전기,0.0,2.0,고속(전기),15000,2.0,309.1,2318250.0
270,2021,포트로(HMT-101),(주)디피코,전기,0.0,3.8,고속(전기),15000,3.8,309.1,1220131.5789473685
271,2021,Peugeot e-208,PSA Automobiles,전기,0.0,4.4,고속(전기),15000,4.4,309.1,1053750.0
272,2021,코란도 e-motion 2WD Heat Pump,쌍용,전기,0.0,4.9,고속(전기),15000,4.9,309.1,946224.4897959183
273,2021,타이칸,포르쉐,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
274,2021,마스타(MASTA)VAN,마스타전기차(주),전기,0.0,6.1,고속(전기),15000,6.1,309.1,760081.9672131148
275,2021,ZOE,르노삼성,전기,0.0,4.8,고속(전기),15000,4.8,309.1,965937.5000000001
276,2021,EV6 항속형 RWD 20인치,기아,전기,0.0,4.9,고속(전기),15000,5.3,309.1,874811.3207547171
277,2021,제인모터스칼마토EV1톤내장탑차,제인모터스,전기,0.0,2.3,고속(전기),15000,2.3,309.1,2015869.5652173916
278,2021,타이칸 4S (High),포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
279,2021,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,고속(전기),15000,1.6,309.1,2897812.5
280,2021,GV60 성능형 4WD 21인치,현대,전기,0.0,4.1,고속(전기),15000,4.9,309.1,946224.4897959183
281,2021,"쏘울 전기차 (도심형, 39.2kWh)",기아,전기,0.0,5.6,고속(전기),15000,5.6,309.1,827946.4285714288
282,2021,비바,Liaoning Lingyuan Linghe,전기,0.0,4.8,고속(전기),15000,4.8,309.1,965937.5000000001
283,2021,BMW iX xDrive40,BMW,전기,0.0,3.9,고속(전기),15000,3.9,309.1,1188846.153846154
284,2021,LEAF,닛산,전기,0.0,5.1,고속(전기),15000,5.1,309.1,909117.6470588237
285,2021,Model Y Standard Range,테슬라코리아 유한회사,전기,0.0,5.6,고속(전기),15000,5.0,309.1,927300.0000000001
286,2021,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,6.1,고속(전기),15000,5.1,309.1,909117.6470588237
287,2021,Model X Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.0,고속(전기),15000,4.0,309.1,1159125.0
288,2021,Peugeot e-208,PSA Automobiles,전기,0.0,5.4,고속(전기),15000,5.4,309.1,858611.111111111
289,2021,BMW i3 120Ah,BMW,전기,0.0,5.6,고속(전기),15000,5.6,309.1,827946.4285714288
290,2021,아이오닉5 항속형 RWD 19인치,현대,전기,0.0,5.1,고속(전기),15000,5.1,309.1,909117.6470588237
291,2021,코나 전기자동차 (도심형),현대,전기,0.0,5.8,고속(전기),15000,5.6,309.1,827946.4285714288
292,2021,다니고3픽업(DANIGO 3 PICK UP),(주)대창모터스,전기,0.0,6.1,고속(전기),15000,6.1,309.1,760081.9672131148
293,2021,Model Y Performance,테슬라코리아 유한회사,전기,0.0,4.8,고속(전기),15000,5.0,309.1,927300.0000000001
294,2021,D2C,쎄미시스코,전기,0.0,5.2,고속(전기),15000,5.2,309.1,891634.6153846154
295,2021,Model S 100D,테슬라코리아 유한회사,전기,0.0,4.0,고속(전기),15000,4.6,309.1,1007934.7826086958
296,2021,아이오닉5 기본형 RWD 19인치,현대,전기,0.0,5.1,고속(전기),15000,5.1,309.1,909117.6470588237
297,2021,파워프라자 봉고3ev PEACE,(주)파워프라자,전기,0.0,2.4,고속(전기),15000,2.4,309.1,1931875.0000000002
298,2021,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.2,고속(전기),15000,4.6,309.1,1007934.7826086958
299,2021,아이오닉5 항속형 4WD 20인치,현대,전기,0.0,4.5,고속(전기),15000,5.1,309.1,909117.6470588237
300,2021,CHEVROLET BOLT EV,GM,전기,0.0,5.4,고속(전기),15000,5.4,309.1,858611.111111111
301,2021,타이칸 터보 S (5인승),포르쉐,전기,0.0,2.8,고속(전기),15000,2.8,309.1,1655892.8571428575
302,2021,Change,AD모터스,전기,0.0,4.3,저속(전기),15000,4.3,309.1,1078255.8139534886
303,2021,EV6 기본형 4WD 19인치,기아,전기,0.0,5.3,고속(전기),15000,5.3,309.1,874811.3207547171
304,2021,타이칸 크로스 투리스모 4S,포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
305,2021,마이브 M1,투데이션샤인,전기,0.0,5.5,고속(전기),15000,5.5,309.1,843000.0000000001
306,2021,G80 Electrified,현대,전기,0.0,4.3,고속(전기),15000,4.3,309.1,1078255.8139534886
307,2021,코나 전기자동차 (기본형),현대,전기,0.0,5.6,고속(전기),15000,5.6,309.1,827946.4285714288
308,2021,타이칸 (5인승),포르쉐,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
309,2021,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.6,고속(전기),15000,5.1,309.1,909117.6470588237
310,2021,타이칸 크로스 투리스모 터보,포르쉐,전기,0.0,2.8,고속(전기),15000,2.8,309.1,1655892.8571428575
311,2021,SMART EV Z,쎄미시스코,전기,0.0,5.8,고속(전기),15000,5.8,309.1,799396.551724138
312,2021,타이칸 (High),포르쉐,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
313,2021,D2P,쎄미시스코,전기,0.0,5.2,고속(전기),15000,5.2,309.1,891634.6153846154
314,2021,재규어 I-PACE EV400,재규어,전기,0.0,3.5,고속(전기),15000,3.5,309.1,1324714.2857142857
315,2021,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,저속(전기),15000,5.3,309.1,874811.3207547171
316,2021,CEVO-C SE,(주)캠시스,전기,0.0,6.3,고속(전기),15000,6.3,309.1,735952.3809523811
317,2021,CHEVROLET BOLT EUV,GM,전기,0.0,5.5,고속(전기),15000,5.5,309.1,843000.0000000001
318,2021,e-tron Sportback 50 uattro,아우디,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
319,2021,e-tron 50 uattro,아우디,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
320,2021,파워프라자 라보 ev PEACE,한국지엠,전기,0.0,3.5,고속(전기),15000,3.5,309.1,1324714.2857142857
321,2021,D2C(D2C13),쎄미시스코,전기,0.0,5.4,고속(전기),15000,5.4,309.1,858611.111111111
322,2021,BMW iX3 M Sport,BMW,전기,0.0,4.1,고속(전기),15000,4.4,309.1,1053750.0
323,2021,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,5.1,고속(전기),15000,5.1,309.1,909117.6470588237
324,2021,타이칸 크로스 투리스모 터보 (5인승),포르쉐,전기,0.0,2.8,고속(전기),15000,2.8,309.1,1655892.8571428575
325,2021,Model S Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.4,고속(전기),15000,4.6,309.1,1007934.7826086958
326,2021,타이칸 터보,포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
327,2021,LEAF,닛산,전기,0.0,5.2,고속(전기),15000,5.2,309.1,891634.6153846154
328,2021,타이칸 크로스 투리스모 (5인승),포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
329,2021,"니로 전기차 (경제형, 39.2kWh)",기아,전기,0.0,5.5,고속(전기),15000,5.3,309.1,874811.3207547171
330,2021,Mercedes-Benz EQA250,벤츠,전기,0.0,4.0,고속(전기),15000,4.0,309.1,1159125.0
331,2021,EV6 항속형 4WD 20인치,기아,전기,0.0,4.6,고속(전기),15000,5.3,309.1,874811.3207547171
332,2021,아이오닉 전기차 (18MY),현대,전기,0.0,6.3,고속(전기),15000,6.3,309.1,735952.3809523811
333,2021,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,고속(전기),15000,4.3,309.1,1078255.8139534886
334,2021,Model Y Long Range,테슬라코리아 유한회사,전기,0.0,5.4,고속(전기),15000,5.0,309.1,927300.0000000001
335,2021,BMW iX xDrive50,BMW,전기,0.0,3.6,고속(전기),15000,3.6,309.1,1287916.6666666667
336,2021,Mercedes-Benz EQA250,벤츠,전기,0.0,4.1,고속(전기),15000,4.1,309.1,1130853.6585365855
337,2021,플러스(PLUS),(주) 한신자동차,전기,0.0,2.5,고속(전기),15000,2.5,309.1,1854600.0000000002
338,2021,"타이칸 4S (High, 5인승)",포르쉐,전기,0.0,2.9,고속(전기),15000,2.9,309.1,1598793.103448276
339,2021,다니고VAN,(주)대창모터스,전기,0.0,3.6,고속(전기),15000,3.6,309.1,1287916.6666666667
340,2021,DANIGO 3,(주)대창모터스,전기,0.0,6.1,고속(전기),15000,6.1,309.1,760081.9672131148
341,2021,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.3,고속(전기),15000,4.6,309.1,1007934.7826086958
342,2021,아이오닉5 항속형 RWD 19인치 빌트인캠,현대,전기,0.0,5.1,고속(전기),15000,5.1,309.1,909117.6470588237
343,2021,아이오닉 전기차(PE),현대,전기,0.0,6.3,고속(전기),15000,6.3,309.1,735952.3809523811
344,2022,BMW iX xDrive50,BMW,전기,0.0,3.7,고속,15000,3.7,347.2,1407567.5675675673
345,2021,TWIZY Cargo(1인승),르노삼성,전기,0.0,7.9,고속(전기),15000,7.9,309.1,586898.7341772151
346,2021,EV6 항속형 RWD 19인치(빌트인캠적용),기아,전기,0.0,5.3,고속(전기),15000,5.3,309.1,874811.3207547171
347,2022,D2C(D2C13),쎄미시스코,전기,0.0,5.4,고속,15000,5.4,347.2,964444.4444444443
348,2022,아이오닉6 항속형 RWD 18인치,현대,전기,0.0,6.0,고속,15000,5.5,347.2,946909.0909090909
349,2022,BMW iX xDrive40,BMW,전기,0.0,3.9,고속,15000,3.9,347.2,1335384.6153846153
350,2022,렉서스 UX300e,토요타,전기,0.0,4.7,고속,15000,4.7,347.2,1108085.1063829786
351,2022,Model X Long Range,테슬라코리아 유한회사,전기,0.0,3.9,고속,15000,3.9,347.2,1335384.6153846153
352,2022,Polestar 2 Long Range Single Motor,폴스타,전기,0.0,4.8,고속,15000,4.8,347.2,1085000.0
353,2022,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,4.7,고속,15000,5.1,347.2,1021176.4705882354
354,2022,DANIGO 3,(주)대창모터스,전기,0.0,6.1,고속,15000,6.1,347.2,853770.4918032788
355,2022,Q4 e-tron 40,아우디,전기,0.0,4.3,고속,15000,4.3,347.2,1211162.7906976745
356,2022,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,5.8,고속,15000,5.1,347.2,1021176.4705882354
357,2022,아이오닉5 항속형 4WD 19인치,현대,전기,0.0,4.7,고속,15000,5.1,347.2,1021176.4705882354
358,2022,GV70 Electrified 20인치,현대,전기,0.0,4.3,고속,15000,4.3,347.2,1211162.7906976745
359,2022,Mercedes-Benz EQB300 4MATIC (5 Seater),벤츠,전기,0.0,4.1,고속,15000,4.1,347.2,1270243.9024390245
360,2022,타이칸 GTS,포르쉐,전기,0.0,3.2,고속,15000,3.2,347.2,1627500.0
361,2022,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,저속,15000,5.3,347.2,982641.5094339623
362,2022,e-tron Sportback 55 uattro,아우디,전기,0.0,3.1,고속,15000,3.1,347.2,1680000.0
363,2022,아이오닉5 항속형 RWD 19인치,현대,전기,0.0,5.1,고속,15000,5.1,347.2,1021176.4705882354
364,2022,아이오닉6 항속형 AWD 18인치,현대,전기,0.0,5.5,고속,15000,5.5,347.2,946909.0909090909
365,2022,EV6 항속형 RWD 19인치(빌트인캠미적용),기아,전기,0.0,5.4,고속,15000,5.3,347.2,982641.5094339623
366,2022,Model Y Long Range,테슬라코리아 유한회사,전기,0.0,5.4,고속,15000,5.0,347.2,1041600.0
367,2022,e-tron 50 uattro,아우디,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
368,2022,Peugeot e-2008 SUV,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,347.2,1211162.7906976745
369,2022,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,6.1,고속,15000,5.1,347.2,1021176.4705882354
370,2022,볼보 C40 Recharge Twin,볼보,전기,0.0,4.1,고속,15000,4.1,347.2,1270243.9024390245
371,2022,Peugeot e-208,PSA Automobiles,전기,0.0,4.4,고속,15000,4.4,347.2,1183636.3636363635
372,2022,타이칸 크로스 투리스모 (5인승),포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
373,2022,아이오닉6 항속형 AWD 20인치,현대,전기,0.0,4.8,고속,15000,5.5,347.2,946909.0909090909
374,2022,포트로 픽업(HMT-250P),(주)디피코,전기,0.0,4.2,고속,15000,4.2,347.2,1239999.9999999998
375,2022,타이칸 크로스 투리스모,포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
376,2022,e-tron GT uattro,아우디,전기,0.0,3.7,고속,15000,3.7,347.2,1407567.5675675673
377,2022,포터 일렉트릭 22MY,현대,전기,0.0,3.1,고속,15000,3.1,347.2,1680000.0
378,2022,타이칸 터보,포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
379,2022,벤츠 EQC 400 4MATIC,벤츠,전기,0.0,3.2,고속,15000,3.2,347.2,1627500.0
380,2022,ID.4 Pro,폭스바겐,전기,0.0,4.7,고속,15000,4.7,347.2,1108085.1063829786
381,2022,제인모터스칼마토EV1톤내장탑차,제인모터스,전기,0.0,2.3,고속,15000,2.3,347.2,2264347.8260869565
382,2022,아이오닉5 항속형 RWD 19인치 빌트인캠 (77.4kWh),현대,전기,0.0,5.1,고속,15000,5.1,347.2,1021176.4705882354
383,2022,e-tron S,아우디,전기,0.0,2.7,고속,15000,2.7,347.2,1928888.8888888885
384,2022,e-tron 55 uattro,아우디,전기,0.0,3.0,고속,15000,3.0,347.2,1736000.0
385,2022,Mercedes-Benz EQA250,벤츠,전기,0.0,4.0,고속,15000,4.0,347.2,1302000.0
386,2022,BMW iX3 M Sport,BMW,전기,0.0,4.1,고속,15000,4.4,347.2,1183636.3636363635
387,2022,코란도 e-motion 2WD Non Heat Pump,쌍용,전기,0.0,4.9,고속,15000,4.9,347.2,1062857.1428571427
388,2022,BMW iX M60,BMW,전기,0.0,3.4,고속,15000,3.4,347.2,1531764.705882353
389,2022,비바,Liaoning Lingyuan Linghe,전기,0.0,4.8,고속,15000,4.8,347.2,1085000.0
390,2022,아이오닉 전기차(PE),현대,전기,0.0,6.3,고속,15000,6.3,347.2,826666.6666666667
391,2022,Model Y Performance,테슬라코리아 유한회사,전기,0.0,4.8,고속,15000,5.0,347.2,1041600.0
392,2022,Mercedes-Benz EQE350 +,벤츠,전기,0.0,4.3,고속,15000,4.3,347.2,1211162.7906976745
393,2022,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.9,고속,15000,4.9,347.2,1062857.1428571427
394,2022,타이칸 터보 (5인승),포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
395,2022,파워프라자 라보 ev PEACE,한국지엠,전기,0.0,3.5,고속,15000,3.5,347.2,1487999.9999999998
396,2022,다니고VAN,(주)대창모터스,전기,0.0,3.6,고속,15000,3.6,347.2,1446666.6666666667
397,2022,EV6 항속형 RWD 19인치(빌트인캠적용),기아,전기,0.0,5.3,고속,15000,5.3,347.2,982641.5094339623
398,2022,Model X Plaid,테슬라코리아 유한회사,전기,0.0,4.1,고속,15000,4.1,347.2,1270243.9024390245
399,2022,아이오닉5 항속형 RWD 19인치 (77.4kWh),현대,전기,0.0,5.2,고속,15000,5.1,347.2,1021176.4705882354
400,2022,타이칸 4S,포르쉐,전기,0.0,3.0,고속,15000,3.0,347.2,1736000.0
401,2022,T4K,BYD,전기,0.0,2.6,고속,15000,2.6,347.2,2003076.9230769228
402,2022,타이칸 (High),포르쉐,전기,0.0,3.0,고속,15000,3.0,347.2,1736000.0
403,2022,비바,Liaoning Lingyuan Linghe,전기,0.0,4.6,고속,15000,4.6,347.2,1132173.9130434783
404,2022,CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,전기,0.0,6.3,고속,15000,6.3,347.2,826666.6666666667
405,2022,MINI Cooper SE,MINI,전기,0.0,4.5,고속,15000,4.5,347.2,1157333.3333333333
406,2022,MASADA 2밴,DFSK,전기,0.0,3.8,고속,15000,3.8,347.2,1370526.3157894737
407,2022,타이칸 터보 S (5인승),포르쉐,전기,0.0,2.8,고속,15000,2.8,347.2,1860000.0000000002
408,2022,Change,AD모터스,전기,0.0,4.3,저속,15000,4.3,347.2,1211162.7906976745
409,2022,MASADA 픽업,DFSK,전기,0.0,3.5,고속,15000,3.5,347.2,1487999.9999999998
410,2022,GV60 4WD 무선충전,현대,전기,0.0,4.1,고속,15000,4.9,347.2,1062857.1428571427
411,2022,Model S 100D,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.6,347.2,1132173.9130434783
412,2022,LEAF,닛산,전기,0.0,5.1,고속,15000,5.1,347.2,1021176.4705882354
413,2022,타이칸 터보 S,포르쉐,전기,0.0,2.8,고속,15000,2.8,347.2,1860000.0000000002
414,2022,타이칸 크로스 투리스모 터보,포르쉐,전기,0.0,2.8,고속,15000,2.8,347.2,1860000.0000000002
415,2022,"니로 전기차 (경제형, 39.2kWh)",기아,전기,0.0,5.5,고속,15000,5.3,347.2,982641.5094339623
416,2022,Model S Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.4,고속,15000,4.6,347.2,1132173.9130434783
417,2022,MASADA 3세대 4밴,DFSK,전기,0.0,3.8,고속,15000,3.8,347.2,1370526.3157894737
418,2022,ZOE,르노코리아자동차(주),전기,0.0,4.8,고속,15000,4.8,347.2,1085000.0
419,2022,GV60 RWD 19인치,현대,전기,0.0,5.1,고속,15000,4.9,347.2,1062857.1428571427
420,2022,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,고속,15000,1.6,347.2,3255000.0
421,2022,"타이칸 4S (High, 5인승)",포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
422,2022,Mercedes-Benz EQE350 4MATIC,벤츠,전기,0.0,4.0,고속,15000,4.0,347.2,1302000.0
423,2022,CHEVROLET BOLT EUV,GM,전기,0.0,5.5,고속,15000,5.5,347.2,946909.0909090909
424,2022,Mercedes-Benz EQS580 4MATIC SUV,벤츠,전기,0.0,3.5,고속,15000,3.5,347.2,1487999.9999999998
425,2022,아이오닉5 항속형 4WD 20인치 (77.4kWh),현대,전기,0.0,4.4,고속,15000,5.1,347.2,1021176.4705882354
426,2022,타이칸 크로스 투리스모 4S,포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
427,2022,Mercedes-Benz EQA250,벤츠,전기,0.0,4.1,고속,15000,4.1,347.2,1270243.9024390245
428,2022,Model X Long Range Plus,테슬라코리아 유한회사,전기,0.0,4.0,고속,15000,4.0,347.2,1302000.0
429,2022,아이오닉5 기본형 RWD 19인치,현대,전기,0.0,5.1,고속,15000,5.1,347.2,1021176.4705882354
430,2022,Mercedes-Benz EQS450 4MATIC SUV,벤츠,전기,0.0,3.6,고속,15000,3.6,347.2,1446666.6666666667
431,2022,Model S Long Range,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,347.2,1132173.9130434783
432,2022,아이오닉 전기차 (18MY),현대,전기,0.0,6.3,고속,15000,6.3,347.2,826666.6666666667
433,2022,EV6 항속형 4WD 19인치,기아,전기,0.0,5.0,고속,15000,5.3,347.2,982641.5094339623
434,2022,아이오닉5 항속형 RWD 19인치 빌트인캠,현대,전기,0.0,5.1,고속,15000,5.1,347.2,1021176.4705882354
435,2022,LSEV,코리아에어카고,전기,0.0,4.4,고속,15000,4.4,347.2,1183636.3636363635
436,2022,Model S 75D,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,347.2,1132173.9130434783
437,2022,타이칸 4S (5인승),포르쉐,전기,0.0,3.0,고속,15000,3.0,347.2,1736000.0
438,2022,타이칸 크로스 투리스모 4S (5인승),포르쉐,전기,0.0,2.9,고속,15000,2.9,347.2,1795862.0689655172
439,2022,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.7,고속,15000,3.7,347.2,1407567.5675675673
440,2022,Mercedes-Benz EQS450 4MATIC SUV(5seats),벤츠,전기,0.0,3.6,고속,15000,3.6,347.2,1446666.6666666667
441,2022,Mercedes-Benz EQB300 4MATIC,벤츠,전기,0.0,4.1,고속,15000,4.1,347.2,1270243.9024390245
442,2022,코나 전기자동차 (도심형),현대,전기,0.0,5.8,고속,15000,5.6,347.2,930000.0000000001
443,2022,"쏘울 전기차(기본형, 64kWh)",기아,전기,0.0,5.4,고속,15000,5.4,347.2,964444.4444444443
444,2022,BMW i3 120Ah,BMW,전기,0.0,5.6,고속,15000,5.6,347.2,930000.0000000001
445,2022,LEAF PLUS,닛산,전기,0.0,4.8,고속,15000,4.8,347.2,1085000.0
446,2022,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.0,고속,15000,5.1,347.2,1021176.4705882354
447,2022,파워프라자 봉고3ev PEACE 더블캡,(주)파워프라자,전기,0.0,2.0,고속,15000,2.0,347.2,2604000.0
448,2022,Mercedes-Benz EQS450 +,벤츠,전기,0.0,3.8,고속,15000,3.8,347.2,1370526.3157894737
449,2022,니로 플러스 EV 항속형 2WD 17인치,기아,전기,0.0,5.3,고속,15000,5.3,347.2,982641.5094339623
450,2022,아이오닉5 항속형 4WD 19인치 (77.4kWh),현대,전기,0.0,4.7,고속,15000,5.1,347.2,1021176.4705882354
451,2022,SMART EV Z,쎄미시스코,전기,0.0,5.8,고속,15000,5.8,347.2,897931.0344827586
452,2022,Model 3 Long Range,테슬라코리아 유한회사,전기,0.0,5.6,고속,15000,5.1,347.2,1021176.4705882354
453,2022,LEAF,닛산,전기,0.0,5.2,고속,15000,5.2,347.2,1001538.4615384614
454,2022,MASADA 3세대 2밴,DFSK,전기,0.0,3.8,고속,15000,3.8,347.2,1370526.3157894737
455,2022,EV6 기본형 4WD 19인치,기아,전기,0.0,5.3,고속,15000,5.3,347.2,982641.5094339623
456,2022,Mercedes-AMG EQS53 4MATIC +,벤츠,전기,0.0,3.2,고속,15000,3.2,347.2,1627500.0
457,2022,D2P,쎄미시스코,전기,0.0,5.2,고속,15000,5.2,347.2,1001538.4615384614
458,2022,다니고C,(주)대창모터스,전기,0.0,3.1,고속,15000,3.1,347.2,1680000.0
459,2022,Model S AWD,테슬라코리아 유한회사,전기,0.0,4.5,고속,15000,4.6,347.2,1132173.9130434783
460,2022,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,고속,15000,4.3,347.2,1211162.7906976745
461,2022,타이칸 크로스 투리스모 터보 (5인승),포르쉐,전기,0.0,2.8,고속,15000,2.8,347.2,1860000.0000000002
462,2022,"니로 전기차 (기본형, 64kWh)",기아,전기,0.0,5.3,고속,15000,5.3,347.2,982641.5094339623
463,2022,이티밴,Brilliance Shineray,전기,0.0,4.4,고속,15000,4.4,347.2,1183636.3636363635
464,2022,Mercedes-AMG EQE53 4MATIC +,벤츠,전기,0.0,3.3,고속,15000,3.3,347.2,1578181.8181818184
465,2022,Mercedes-Benz EQS450 4MATIC,벤츠,전기,0.0,3.5,고속,15000,3.5,347.2,1487999.9999999998
466,2022,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.8,고속,15000,3.8,347.2,1370526.3157894737
467,2022,Peugeot e-208,PSA Automobiles,전기,0.0,5.4,고속,15000,5.4,347.2,964444.4444444443
468,2022,봉고 전기차 (22),기아,전기,0.0,3.1,고속,15000,3.1,347.2,1680000.0
469,2022,아이오닉5 항속형 4WD 20인치,현대,전기,0.0,4.5,고속,15000,5.1,347.2,1021176.4705882354
470,2022,GV60 4WD 20인치,현대,전기,0.0,4.3,고속,15000,4.9,347.2,1062857.1428571427
