순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
56,2019,마이브 M1,투데이션샤인,전기,0.0,5.5,고속,15000,5.5,173.8,474000.00000000006
57,2019,Model X Long Range,테슬라코리아 유한회사,전기,0.0,3.9,고속,15000,3.9,173.8,668461.5384615385
58,2019,ZOE,르노삼성,전기,0.0,4.8,고속,15000,4.8,173.8,543125.0
59,2019,LEAF,닛산,전기,0.0,5.1,고속,15000,5.1,173.8,511176.47058823536
60,2019,코란도 e-motion 2WD Non Heat Pump,쌍용,전기,0.0,4.8,고속,15000,4.8,173.8,543125.0
61,2019,다니고3픽업(DANIGO 3 PICK UP),(주)대창모터스,전기,0.0,6.1,고속,15000,6.1,173.8,427377.0491803279
62,2019,제인모터스칼마토EV1톤내장탑차,제인모터스,전기,0.0,2.3,고속,15000,2.3,173.8,1133478.2608695654
63,2019,Model S Long Range,테슬라코리아 유한회사,전기,0.0,4.3,고속,15000,4.6,173.8,566739.1304347827
64,2019,"니로 전기차 (기본형, 64kWh)",기아,전기,0.0,5.3,고속,15000,5.3,173.8,491886.7924528303
65,2019,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,고속,15000,5.5,173.8,474000.00000000006
66,2019,벤츠 EQC 400 4MATIC,벤츠,전기,0.0,3.2,고속,15000,3.2,173.8,814687.5
67,2019,"쏘울 전기차 (도심형, 39.2kWh)",기아,전기,0.0,5.6,고속,15000,5.6,173.8,465535.7142857144
68,2023,BMW i3 120Ah,BMW,전기,0.0,5.6,2등급,15000,5.6,347.2,930000.0000000001
69,2023,BMW i3 94Ah,BMW,전기,0.0,5.4,2등급,15000,5.4,347.2,964444.4444444443
70,2023,BMW i4 M50,BMW,전기,0.0,4.1,4등급,15000,4.8,347.2,1085000.0
71,2023,BMW i4 eDrive40,BMW,전기,0.0,4.6,3등급,15000,4.8,347.2,1085000.0
72,2023,BMW i5 M60 xDrive,BMW,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
73,2023,BMW i5 eDrive40,BMW,전기,0.0,4.1,4등급,15000,4.1,347.2,1270243.9024390245
74,2023,BMW i7 M70 xDrive,BMW,전기,0.0,3.3,5등급,15000,3.3,347.2,1578181.8181818184
75,2023,BMW i7 eDrive50,BMW,전기,0.0,3.8,4등급,15000,3.8,347.2,1370526.3157894737
76,2023,BMW i7 xDrive60,BMW,전기,0.0,3.7,4등급,15000,3.7,347.2,1407567.5675675673
77,2023,BMW iX M60,BMW,전기,0.0,3.4,4등급,15000,3.4,347.2,1531764.705882353
78,2023,BMW iX xDrive40,BMW,전기,0.0,3.9,4등급,15000,3.9,347.2,1335384.6153846153
79,2023,BMW iX xDrive50,BMW,전기,0.0,3.6,4등급,15000,3.6,347.2,1446666.6666666667
80,2023,BMW iX xDrive50,BMW,전기,0.0,3.7,4등급,15000,3.7,347.2,1407567.5675675673
81,2023,BMW iX1 xDrive30,BMW,전기,0.0,4.2,3등급,15000,4.2,347.2,1239999.9999999998
82,2023,BMW iX3 M Sport,BMW,전기,0.0,4.1,4등급,15000,4.4,347.2,1183636.3636363635
83,2023,CEVO-C,Supa Motor Limited,전기,0.0,6.4,초소형,15000,6.4,347.2,813750.0
84,2023,CEVO-C SE,(주)캠시스,전기,0.0,6.3,초소형,15000,6.3,347.2,826666.6666666667
85,2023,CEVO-C SE 1인승 밴형,주식회사 쎄보모빌리티,전기,0.0,6.3,초소형,15000,6.3,347.2,826666.6666666667
86,2023,CHEVROLET BOLT EUV,GM,전기,0.0,5.5,2등급,15000,5.5,347.2,946909.0909090909
87,2023,CHEVROLET BOLT EV,GM,전기,0.0,5.4,2등급,15000,5.4,347.2,964444.4444444443
88,2023,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,2등급,15000,5.5,347.2,946909.0909090909
89,2023,D2C,쎄미시스코,전기,0.0,5.2,초소형,15000,5.2,347.2,1001538.4615384614
90,2023,D2C(D2C13),쎄미시스코,전기,0.0,5.4,초소형,15000,5.4,347.2,964444.4444444443
91,2023,D2P,쎄미시스코,전기,0.0,5.2,초소형,15000,5.2,347.2,1001538.4615384614
92,2023,DANIGO 3,(주)대창모터스,전기,0.0,6.1,초소형,15000,6.1,347.2,853770.4918032788
93,2023,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.3,3등급,15000,4.3,347.2,1211162.7906976745
94,2023,DS3 CROSSBACK E-TENSE,PSA Automobiles,전기,0.0,4.9,3등급,15000,4.9,347.2,1062857.1428571427
95,2023,DS3 E-TENSE,PSA Automobiles,전기,0.0,5.5,2등급,15000,5.5,347.2,946909.0909090909
96,2023,Danigo(다니고),(주)대창모터스,전기,0.0,5.3,초소형,15000,5.3,347.2,982641.5094339623
97,2023,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,5등급,15000,1.6,347.2,3255000.0
98,2023,EV6 GT,기아,전기,0.0,3.9,4등급,15000,5.3,347.2,982641.5094339623
99,2023,EV6 기본형 4WD 19인치,기아,전기,0.0,5.3,2등급,15000,5.3,347.2,982641.5094339623
100,2023,EV6 기본형 RWD 19인치,기아,전기,0.0,5.6,2등급,15000,5.3,347.2,982641.5094339623
101,2023,EV6 항속형 4WD 19인치,기아,전기,0.0,5.0,2등급,15000,5.3,347.2,982641.5094339623
102,2023,EV6 항속형 4WD 20인치,기아,전기,0.0,4.6,3등급,15000,5.3,347.2,982641.5094339623
