년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,그랜드스타렉스 2.5디젤 2WD 6MT (PE2),현대,경유,2497,10.9,4등급,177,15000,"1,474.20","2,028,715"
2022,스포티지 2.0디젤 4WD 8AT 18인치 (빌트인캠),기아,경유,1998,12.7,3등급,151,15000,"1,474.20","1,741,181"
2022,쏘렌토 2.2디젤 4WD 5인 18인치타이어 (빌트인캠),기아,경유,2151,13.3,3등급,144,15000,"1,474.20","1,662,631"
2022,쏘렌토 2.2디젤 2WD 6인 18인치타이어,기아,경유,2151,14.3,2등급,133,15000,"1,474.20","1,546,363"
2022,스타리아 라운지 2.2디젤 2WD 7인 18인치,현대,경유,2199,10.8,4등급,179,15000,"1,474.20","2,047,500"
2022,렉스턴 2.2 8AT 2WD SCR Step2 5인승,쌍용,경유,2157,10.9,4등급,179,15000,"1,474.20","2,028,715"
2022,BMW X4 M40d,BMW,경유,2993,10.7,4등급,182,15000,"1,474.20","2,066,635"
2022,G4 렉스턴 2.2 7AT 4WD SCR 7인승,쌍용,경유,2157,10.1,4등급,194,15000,"1,474.20","2,189,405"
2022,"코나 1.6디젤 4WD (18"" 타이어)",현대,경유,1598,14.6,2등급,129,15000,"1,474.20","1,514,589"
2022,봉고 1톤 초장축 표준캡 MT(22),기아,경유,2497,9.5,4등급,204,15000,"1,474.20","2,327,684"
2022,그랜드스타렉스 2.5디젤 4WD 5AT_9인 (PE2/20MY),현대,경유,2497,8.9,5등급,220,15000,"1,474.20","2,484,606"
2022,싼타페 2.2디젤 AWD 5인 18인치(빌트인캠)(22),현대,경유,2151,13.1,3등급,146,15000,"1,474.20","1,688,015"
2022,BMW 620d xDrive,BMW,경유,1995,12.4,3등급,154,15000,"1,474.20","1,783,306"
2022,"K7 2.2디젤 (19""타이어)",기아,경유,2199,14.1,2등급,135,15000,"1,474.20","1,568,297"
2022,G70 2.2디젤 AWD_18인치타이어_20MY,현대,경유,2199,13.5,3등급,141,15000,"1,474.20","1,638,000"
2022,Mercedes-Benz GLE 400 d 4MATIC Coupe,벤츠,경유,2925,10.5,4등급,184,15000,"1,474.20","2,106,000"
